Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0140374~antiviral innate immune response	13	5.6521739130434785	8.351329582006429E-11	MX1, EIF2AK2, IFIT1, TNF, IFIT3, IFIT2, OASL, IFIH1, CXCL10, OAS1, OAS2, OAS3, DHX58	226	41	9653	13.54295273041226	1.3286966327186178E-7	2.2144942274953716E-8	2.1755213561126747E-8
UP_KW_BIOLOGICAL_PROCESS	KW-0945~Host-virus interaction	40	17.391304347826086	4.078264530794262E-9	SCARB2, SP100, CALCOCO2, KARS1, SLC20A1, SRC, CUL1, IFIT1, PSMB10, ASGR1, IFIH1, HERC5, PSMB2, CTSL, TRIM5, PSMB3, LAMP3, DHX58, TRIM21, TRIM22, MICB, APOBEC3F, APOBEC3G, RSAD2, SP110, STAT1, STAT2, EIF2AK2, TICAM1, PSMB8, PML, PSMB9, BST2, FAM111A, PLSCR1, OAS1, IRF7, RBCK1, GAS6, LY6E	169	542	6343	2.769929474442673	3.09948054888487E-7	7.748702608509097E-8	7.544789381969384E-8
GOTERM_BP_DIRECT	GO:0060337~type I interferon-mediated signaling pathway	11	4.782608695652174	4.2740053410655105E-9	IFIH1, IFITM3, SP100, IFITM1, OAS1, STAT1, OAS2, STAT2, OAS3, IRF7, OASL	226	35	9653	13.423893805309733	6.799919441524693E-6	9.714203568050325E-7	9.543243354407703E-7
GOTERM_BP_DIRECT	GO:0035455~response to interferon-alpha	7	3.0434782608695654	2.9154446042235833E-8	IFITM3, BST2, IFITM1, LAMP3, MX2, EIF2AK2, ADAR	226	10	9653	29.89867256637168	4.638364863396305E-5	5.798090456649651E-6	5.696049895501826E-6
GOTERM_BP_DIRECT	GO:0043123~positive regulation of canonical NF-kappaB signal transduction	18	7.82608695652174	2.7163453697422E-7	CD40, SLC20A1, RIPK2, CUL1, IFIT5, ILK, SECTM1, NOD2, TICAM1, TNF, BST2, TRIM5, CASP1, TNFSF10, TLR7, RBCK1, TRIM21, TRIM22	226	165	9653	4.6595333869670155	4.320772347574664E-4	4.8018949813998225E-5	4.717386458785621E-5
GOTERM_MF_DIRECT	GO:0003725~double-stranded RNA binding	11	4.782608695652174	2.832647658643662E-7	IFIH1, OAS1, OAS2, OAS3, DHX58, EIF2AK2, TLR7, ADAR, DDX60, MRPL44, OASL	227	53	9808	8.967500623389578	1.4417139255229472E-4	1.441817658249624E-4	1.4361523629323366E-4
GOTERM_BP_DIRECT	GO:0070106~interleukin-27-mediated signaling pathway	6	2.608695652173913	3.4819534340231625E-7	OAS1, STAT1, OAS2, OAS3, MX1, OASL	226	8	9653	32.03429203539823	5.538254698979062E-4	5.5397879135308515E-5	5.4422932173782034E-5
KEGG_PATHWAY	hsa05171:Coronavirus disease - COVID-19	18	7.82608695652174	6.206906496815213E-7	C1QB, STAT1, STAT2, MX2, MX1, CYBB, EIF2AK2, ADAR, TNF, IFIH1, CXCL10, OAS1, OAS2, OAS3, CASP1, TLR7, IRF9, NFKBIB	139	164	5443	4.297859273556764	1.4336930620617583E-4	4.7793180025477145E-5	4.551731430997823E-5
GOTERM_BP_DIRECT	GO:0002376~immune system process	9	3.91304347826087	6.462491657265076E-7	IFIH1, CD300A, IRF1, IRF2, IRF7, CD300C, PSMB8, IRF9, PSMB9	226	33	9653	11.648833467417539	0.0010276543561417162	8.568186855590613E-5	8.417395383587761E-5
GOTERM_BP_DIRECT	GO:0032728~positive regulation of interferon-beta production	9	3.91304347826087	6.462491657265076E-7	IFIH1, OAS1, OAS2, RIPK2, IRF1, OAS3, IRF7, TLR7, TICAM1	226	33	9653	11.648833467417539	0.0010276543561417162	8.568186855590613E-5	8.417395383587761E-5
GOTERM_BP_DIRECT	GO:0035456~response to interferon-beta	6	2.608695652173913	7.685733100258323E-7	IFITM3, BST2, IFITM1, PLSCR1, STAT1, XAF1	226	9	9653	28.474926253687315	0.0012220532900839576	9.406154894239224E-5	9.240616027464429E-5
GOTERM_MF_DIRECT	GO:0038187~pattern recognition receptor activity	8	3.4782608695652173	1.884454185418218E-6	IFIH1, FCN1, MARCO, AIM2, TRIM5, TLR7, NOD2, ASGR1	227	27	9808	12.80208843204438	9.587282102798689E-4	4.7959359018893646E-4	4.777091360035182E-4
KEGG_PATHWAY	hsa05160:Hepatitis C	15	6.521739130434782	3.1356479775851807E-6	RSAD2, STAT1, STAT2, MX2, MX1, EIF2AK2, IFIT1, TICAM1, TNF, CXCL10, OAS1, OAS2, OAS3, IRF7, IRF9	139	127	5443	4.624992919050586	7.24073550596227E-4	1.8108367070554418E-4	1.7246063876718494E-4
GOTERM_BP_DIRECT	GO:0042742~defense response to bacterium	12	5.217391304347826	4.049003173912748E-6	GSDMD, NAGK, OAS1, OAS2, RIPK2, OAS3, SLAMF8, CASP1, RBCK1, NOD2, GBP2, GBP1	226	85	9653	6.029984383133785	0.006421272041502668	4.3986768850702725E-4	4.3212645954524427E-4
GOTERM_BP_DIRECT	GO:0046597~negative regulation of viral entry into host cell	7	3.0434782608695654	4.423559406733147E-6	IFITM3, FCN1, CIITA, IFITM1, TRIM5, TRIM26, LY6E	226	20	9653	14.94933628318584	0.007013190572378036	4.3986768850702725E-4	4.3212645954524427E-4
GOTERM_BP_DIRECT	GO:0002230~positive regulation of defense response to virus by host	7	3.0434782608695654	4.423559406733147E-6	AIM2, APOBEC3F, APOBEC3G, STAT1, IL12RB1, TRIM22, PML	226	20	9653	14.94933628318584	0.007013190572378036	4.3986768850702725E-4	4.3212645954524427E-4
KEGG_PATHWAY	hsa05162:Measles	14	6.086956521739131	4.4579388614586035E-6	STAT1, STAT2, MX2, MX1, EIF2AK2, ADAR, IFIH1, OAS1, OAS2, OAS3, IRF7, TLR7, IRF9, NFKBIB	139	113	5443	4.8514674985675175	0.00102925612455107	2.059567753993875E-4	1.9614930990417855E-4
KEGG_PATHWAY	hsa05169:Epstein-Barr virus infection	16	6.956521739130435	6.005073292231206E-6	CD40, GADD45B, STAT1, STAT2, EIF2AK2, TNF, TAPBP, RELB, CXCL10, OAS1, OAS2, OAS3, IRF7, NFKBIE, IRF9, NFKBIB	139	153	5443	4.094982837259605	0.0013862144115115438	2.3119532175090143E-4	2.2018602071514418E-4
GOTERM_BP_DIRECT	GO:0032731~positive regulation of interleukin-1 beta production	9	3.91304347826087	9.353768706992886E-6	GSDMD, P2RX7, AIM2, TYROBP, IFI16, RIPK2, CASP1, NOD2, TNF	226	46	9653	8.356771835321277	0.014771727189970663	8.754027066368048E-4	8.599964993546989E-4
GOTERM_BP_DIRECT	GO:0071346~cellular response to type II interferon	9	3.91304347826087	1.7762083884332044E-5	CIITA, STAT1, CASP1, CDC42EP2, IL12RB1, GBP2, TNF, GBP1, VAMP3	226	50	9653	7.688230088495574	0.027864155369493493	0.001569970858887349	0.0015423409506228323
INTERPRO	IPR001353:Proteasome_sua/b	6	2.608695652173913	2.1488267719602538E-5	PSMA5, PSMB2, PSMB3, PSMB8, PSMB10, PSMB9	230	16	9994	16.294565217391305	0.017128365555346026	0.006780085965652882	0.006653591824502642
GOTERM_CC_DIRECT	GO:0005839~proteasome core complex	6	2.608695652173913	3.115470400296063E-5	PSMA5, PSMB2, PSMB3, PSMB8, PSMB10, PSMB9	229	17	9863	15.201130233752888	0.008809044757760787	0.0074348450172093475	0.007303949858455661
UP_SEQ_FEATURE	DOMAIN:2'-5'-oligoadenylate synthetase 1	4	1.7391304347826086	4.6669453918513776E-5	OAS1, OAS2, OAS3, OASL	226	4	9821	43.45575221238938	0.07043579529315902	0.07303769538247405	0.07303769538247405
INTERPRO	IPR018952:2-5-oligoAdlate_synth_1_dom2/C	4	1.7391304347826086	4.670220458444886E-5	OAS1, OAS2, OAS3, OASL	230	4	9994	43.45217391304348	0.036853210404563796	0.006780085965652882	0.006653591824502642
INTERPRO	IPR043518:2-5OAS_N_CS	4	1.7391304347826086	4.670220458444886E-5	OAS1, OAS2, OAS3, OASL	230	4	9994	43.45217391304348	0.036853210404563796	0.006780085965652882	0.006653591824502642
INTERPRO	IPR006116:NT_2-5OAS_ClassI-CCAase	4	1.7391304347826086	4.670220458444886E-5	OAS1, OAS2, OAS3, OASL	230	4	9994	43.45217391304348	0.036853210404563796	0.006780085965652882	0.006653591824502642
INTERPRO	IPR006117:2-5OAS_C_CS	4	1.7391304347826086	4.670220458444886E-5	OAS1, OAS2, OAS3, OASL	230	4	9994	43.45217391304348	0.036853210404563796	0.006780085965652882	0.006653591824502642
INTERPRO	IPR023333:Proteasome_suB-type	5	2.1739130434782608	5.059765646009614E-5	PSMB2, PSMB3, PSMB8, PSMB10, PSMB9	230	10	9994	21.72608695652174	0.03986515898969245	0.006780085965652882	0.006653591824502642
GOTERM_CC_DIRECT	GO:0019774~proteasome core complex, beta-subunit complex	5	2.1739130434782608	5.235806350147428E-5	PSMB2, PSMB3, PSMB8, PSMB10, PSMB9	229	10	9863	21.53493449781659	0.014760065671525657	0.0074348450172093475	0.007303949858455661
INTERPRO	IPR016050:Proteasome_bsu_CS	5	2.1739130434782608	7.808390860238641E-5	PSMB2, PSMB3, PSMB8, PSMB10, PSMB9	230	11	9994	19.75098814229249	0.060851733250575246	0.008968494645188382	0.008801171983897554
GOTERM_BP_DIRECT	GO:0006952~defense response	9	3.91304347826087	1.3795409364965222E-4	STAT1, STAT2, MX2, SP140, MX1, CASP1, CYBB, NOD2, MICU1	226	66	9653	5.8244167337087696	0.1970799256611112	0.011551840157715616	0.011348539388126652
INTERPRO	IPR029055:Ntn_hydrolases_N	6	2.608695652173913	1.7999632215463798E-4	PSMA5, PSMB2, PSMB3, PSMB8, PSMB10, PSMB9	230	24	9994	10.863043478260868	0.13474417890414314	0.018089630376541117	0.017752137272501172
GOTERM_BP_DIRECT	GO:0032755~positive regulation of interleukin-6 production	9	3.91304347826087	3.0857581688703545E-4	P2RX7, IFIH1, TYROBP, UNC93B1, RIPK2, TLR7, NOD2, TICAM1, TNF	226	74	9653	5.194750059794307	0.38799809699873056	0.024280618160011896	0.023853303698364924
GOTERM_BP_DIRECT	GO:0060339~negative regulation of type I interferon-mediated signaling pathway	5	2.1739130434782608	3.204858462352293E-4	OAS1, STAT2, OAS3, ADAR, EIF4E2	226	15	9653	14.237463126843657	0.3994892317983413	0.024280618160011896	0.023853303698364924
INTERPRO	IPR003879:Butyrophylin_SPRY	6	2.608695652173913	3.2324346359261153E-4	BTN3A1, TRIM5, BTN3A3, TRIM26, TRIM21, TRIM22	230	27	9994	9.656038647342994	0.22889425154092902	0.02887641608093996	0.028337676974952278
KEGG_PATHWAY	hsa03050:Proteasome	7	3.0434782608695654	3.370920479899848E-4	PSMA5, PSMB2, PSMB3, PSME1, PSMB8, PSMB10, PSMB9	139	38	5443	7.213366149185915	0.0749258573096	0.011124037583669498	0.010594321508256664
GOTERM_BP_DIRECT	GO:0051603~proteolysis involved in protein catabolic process	7	3.0434782608695654	3.899914046566241E-4	PSMB2, CTSL, PSMB3, PSMB8, CTSS, PSMB10, PSMB9	226	42	9653	7.118731563421829	0.46237680567140815	0.027074213737608224	0.026597734803194002
GOTERM_BP_DIRECT	GO:0006955~immune response	17	7.391304347826087	3.9139341041168394E-4	IFITM3, CIITA, IL15, IFI6, IFI44, SECTM1, TNF, ASGR1, CTSS, IFI44L, AIM2, CTSL, SLAMF8, TNFSF10, GBP2, TRIM22, MICB	226	261	9653	2.7820330247855427	0.4635751543897445	0.027074213737608224	0.026597734803194002
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	106	46.08695652173913	4.618184700298945E-4	SCARB2, UBE2L6, IFI35, IFIT1, IFIT3, IFI44L, IFIT2, CNDP2, HERC5, MT2A, DPYSL2, DHX58, TRIM26, TRIM21, TRIM22, TBC1D2B, SHTN1, PSME1, CARS2, CUL1, DDX60, SOCS1, ADAP2, APOBEC3F, GADD45B, APOBEC3G, IFI44, EIF2AK2, TDRD7, ISG20, BST2, FAM111A, MARCO, SPATS2L, NFKBIE, XAF1, OGFR, RTP4, CALCOCO2, MTMR11, PLEK, ILK, ADAR, OASL, IFIH1, HEBP1, CASP5, PSTPIP2, TRIM5, KYNU, PEA15, CASP1, DUSP5, PARP3, DUSP3, IL15, RIPK2, GSTO1, ANXA5, TFIP11, TENT5A, PLAAT4, PSMA5, PLSCR1, AIM2, OAS1, OAS2, IRF1, OAS3, ALDH1A1, IRF7, CDC42EP2, TLR7, PLEKHO1, GAS6, EIF4E2, IRF9, SP100, SMARCD3, SRC, KARS1, NOD2, ASCL2, PSMB10, RELB, GNA15, DRAM1, APOL6, PSMB2, IFI16, PSMB3, GBP2, GBP1, GCH1, STAT1, STAT2, MX2, MX1, WARS1, PSMB8, PML, PSMB9, P2RX7, MSRB2, NUCB1, SNTB1	229	3482	9863	1.3111447770066393	0.12294602200621385	0.043718815162830015	0.04294911771278019
KEGG_PATHWAY	hsa04623:Cytosolic DNA-sensing pathway	8	3.4782608695652173	4.7518508740259594E-4	GSDMD, CXCL10, AIM2, IFI16, IRF7, CASP1, ADAR, NFKBIB	139	56	5443	5.594039054470709	0.10398116359523768	0.013720969398749958	0.013067589903571389
INTERPRO	IPR011029:DEATH-like_dom_sf	8	3.4782608695652173	5.09530603614323E-4	IFIH1, AIM2, IFI16, CASP5, RIPK2, PEA15, CASP1, NOD2	230	62	9994	5.606732117812062	0.3361951070410837	0.040966260530591575	0.04020196462517009
UP_KW_CELLULAR_COMPONENT	KW-0647~Proteasome	7	3.0434782608695654	5.202431870997502E-4	PSMA5, PSMB2, PSMB3, PSME1, PSMB8, PSMB10, PSMB9	213	45	9254	6.7582681272822125	0.015490131237127058	0.015607295612992506	0.015607295612992506
GOTERM_BP_DIRECT	GO:0032760~positive regulation of tumor necrosis factor production	9	3.91304347826087	5.266154084071449E-4	IFIH1, TYROBP, OAS1, OAS2, RIPK2, OAS3, CYBB, NOD2, TICAM1	226	80	9653	4.805143805309735	0.5674536554541079	0.034910213115656986	0.03429582847251531
GOTERM_MF_DIRECT	GO:0016779~nucleotidyltransferase activity	6	2.608695652173913	6.472935595283624E-4	PARP3, OAS1, OAS2, OAS3, PARP12, OASL	227	31	9808	8.362654540287055	0.2807736082567547	0.10982414059997882	0.10939261156029324
GOTERM_CC_DIRECT	GO:0000502~proteasome complex	7	3.0434782608695654	6.944298949110142E-4	PSMA5, PSMB2, PSMB3, PSME1, PSMB8, PSMB10, PSMB9	229	47	9863	6.414661339775156	0.17904468533116003	0.049304522538682005	0.04843648517004324
SMART	SM00348:IRF	4	1.7391304347826086	6.976977296245004E-4	IRF1, IRF2, IRF7, IRF9	125	9	5889	20.938666666666666	0.08864810603468898	0.09279379804005855	0.09279379804005855
GOTERM_BP_DIRECT	GO:0035458~cellular response to interferon-beta	5	2.1739130434782608	8.457123131550606E-4	AIM2, IFI16, OAS1, STAT1, IRF1	226	19	9653	11.240102468560782	0.739746097432151	0.053821131609188055	0.05287393381845439
UP_SEQ_FEATURE	DNA_BIND:IRF tryptophan pentad repeat	4	1.7391304347826086	8.999778305011107E-4	IRF1, IRF2, IRF7, IRF9	226	9	9821	19.313667649950833	0.7556367616787862	0.46948843491141273	0.46948843491141273
UP_SEQ_FEATURE	DOMAIN:IRF tryptophan pentad repeat	4	1.7391304347826086	8.999778305011107E-4	IRF1, IRF2, IRF7, IRF9	226	9	9821	19.313667649950833	0.7556367616787862	0.46948843491141273	0.46948843491141273
INTERPRO	IPR001346:Interferon_reg_fact_DNA-bd_dom	4	1.7391304347826086	9.005795988227688E-4	IRF1, IRF2, IRF7, IRF9	230	9	9994	19.31207729468599	0.5153809850222781	0.06033883312112551	0.05921310862259705
INTERPRO	IPR019817:Interferon_reg_fac_CS	4	1.7391304347826086	9.005795988227688E-4	IRF1, IRF2, IRF7, IRF9	230	9	9994	19.31207729468599	0.5153809850222781	0.06033883312112551	0.05921310862259705
GOTERM_BP_DIRECT	GO:1901224~positive regulation of non-canonical NF-kappaB signal transduction	7	3.0434782608695654	0.001247103355536329	EIF2AK2, TLR7, TRIM26, IFI35, RBCK1, NOD2, TNF	226	52	9653	5.749744724302246	0.8626715370612051	0.0741868091811307	0.07288119594601337
GOTERM_BP_DIRECT	GO:0032727~positive regulation of interferon-alpha production	5	2.1739130434782608	0.0012589841910059893	IFIH1, STAT1, RIPK2, IRF7, TLR7	226	21	9653	10.169616519174042	0.8652461916779808	0.0741868091811307	0.07288119594601337
KEGG_PATHWAY	hsa04620:Toll-like receptor signaling pathway	9	3.91304347826087	0.0012950729665951429	CXCL10, CD40, STAT1, STAT2, IRF7, TLR7, TICAM1, TNF, IRF9	139	85	5443	4.146170122725349	0.25870434667034914	0.03062422474605726	0.029165928329578338
UP_KW_CELLULAR_COMPONENT	KW-0458~Lysosome	15	6.521739130434782	0.0013267506699793598	IFITM3, SCARB2, IFITM1, SORT1, UNC93B1, SLC2A6, GNS, CTSS, TM9SF1, DRAM1, CTSL, NPC2, LAMP3, TLR7, ARSB	213	242	9254	2.692934466301944	0.03904620134309633	0.019901260049690398	0.019901260049690398
GOTERM_BP_DIRECT	GO:0032722~positive regulation of chemokine production	6	2.608695652173913	0.0013758491469019437	RIPK2, EIF2AK2, FFAR2, TLR7, TICAM1, TNF	226	36	9653	7.118731563421829	0.8881373193716735	0.07817771402574973	0.07680186487884778
INTERPRO	IPR036390:WH_DNA-bd_sf	11	4.782608695652174	0.0013981266531104591	ETV7, ELF4, IRF1, IRF2, PLEK, IRF7, CUL1, ADAR, REC8, IRF9, ETV6	230	140	9994	3.414099378881988	0.6753086937948657	0.08646875608467763	0.08485553302339632
KEGG_PATHWAY	hsa04217:Necroptosis	10	4.3478260869565215	0.001454482324412991	STAT1, STAT2, CASP1, TNFSF10, CYBB, EIF2AK2, RBCK1, TICAM1, TNF, IRF9	139	107	5443	3.659651717878034	0.28554123613384563	0.03062422474605726	0.029165928329578338
KEGG_PATHWAY	hsa04612:Antigen processing and presentation	6	2.608695652173913	0.001499638837724809	CIITA, CTSL, PSME1, TNF, CTSS, TAPBP	139	34	5443	6.910283537875582	0.2929660407590957	0.03062422474605726	0.029165928329578338
GOTERM_BP_DIRECT	GO:0060907~positive regulation of macrophage cytokine production	5	2.1739130434782608	0.0015109084324672834	P2RX7, RIPK2, TLR7, NOD2, TICAM1	226	22	9653	9.707361222847949	0.909795246159749	0.08289156262260165	0.0814327544809091
UP_SEQ_FEATURE	DOMAIN:Polymerase nucleotidyl transferase	3	1.3043478260869565	0.0015440408164141303	OAS1, OAS2, OAS3	226	3	9821	43.45575221238938	0.9109263148508061	0.6041059694220284	0.6041059694220284
SMART	SM00449:SPRY	6	2.608695652173913	0.0015591084374736478	BTN3A1, TRIM5, BTN3A3, TRIM26, TRIM21, TRIM22	125	41	5889	6.894439024390244	0.18740564303481744	0.10368071109199758	0.10368071109199758
GOTERM_MF_DIRECT	GO:0001730~2'-5'-oligoadenylate synthetase activity	3	1.3043478260869565	0.0015618198243588413	OAS1, OAS2, OAS3	227	3	9808	43.207048458149785	0.5486840971018906	0.19874157264966255	0.19796066273748314
GOTERM_CC_DIRECT	GO:0070721~ISGF3 complex	3	1.3043478260869565	0.0015718862220974084	STAT1, STAT2, IRF9	229	3	9863	43.069868995633186	0.3603070046698682	0.08928313741513279	0.08771125119303538
KEGG_PATHWAY	hsa05168:Herpes simplex virus 1 infection	16	6.956521739130435	0.0015908688179770004	SP100, STAT1, SRC, STAT2, EIF2AK2, TICAM1, TNF, PML, TAPBP, IFIH1, BST2, OAS1, OAS2, OAS3, IRF7, IRF9	139	251	5443	2.496144916735934	0.3077328355594069	0.03062422474605726	0.029165928329578338
GOTERM_BP_DIRECT	GO:0071659~negative regulation of IP-10 production	3	1.3043478260869565	0.0015978283302212756	OAS1, OAS3, LILRB4	226	3	9653	42.71238938053098	0.9214624162543325	0.08473816244606831	0.08324685600452846
GOTERM_BP_DIRECT	GO:0051092~positive regulation of NF-kappaB transcription factor activity	9	3.91304347826087	0.0017528490186587975	CD40, AIM2, TRIM5, RIPK2, EIF2AK2, RBCK1, NOD2, TNF, TRIM22	226	96	9653	4.004286504424779	0.938654275845847	0.08925914110184158	0.08768826998251313
GOTERM_BP_DIRECT	GO:0034138~toll-like receptor 3 signaling pathway	4	1.7391304347826086	0.0017952812792325144	OAS1, UNC93B1, TICAM1, TNF	226	11	9653	15.531777956556718	0.9426658881574898	0.08925914110184158	0.08768826998251313
GOTERM_BP_DIRECT	GO:0050729~positive regulation of inflammatory response	8	3.4782608695652173	0.001901632169151782	GSDMD, AIM2, CASP5, IL15, CASP1, TLR7, IFI35, TNF	226	76	9653	4.496040987424313	0.9516058879380241	0.0916817206400147	0.09006821455709806
KEGG_PATHWAY	hsa04622:RIG-I-like receptor signaling pathway	7	3.0434782608695654	0.0020531194725204233	IFIH1, CXCL10, DHX58, IRF7, ADAR, TNF, NFKBIB	139	53	5443	5.171847427718203	0.3779645116700834	0.03648235370401676	0.034745098765730245
GOTERM_MF_DIRECT	GO:0042802~identical protein binding	43	18.695652173913043	0.0022236596201471257	C1QB, SP100, KARS1, IFI35, TNF, IFIT3, ASGR1, RELB, IFIH1, IFI16, TRIM5, DPYSL2, SLAMF8, CASP1, TNFSF10, GBP2, GBP1, TRIM21, TRIM22, KCNJ2, DECR1, APOBEC3F, APOBEC3G, GCH1, STAT1, RIPK2, STAT2, LMO2, MX1, EIF2AK2, TOR1B, PML, DRAP1, P2RX7, BST2, SHTN1, CEACAM1, TYROBP, MAFB, AIM2, RBCK1, MICU1, ATF3	227	1172	9808	1.58524153899355	0.6779675724413277	0.2263685493309774	0.22547908548291856
INTERPRO	IPR003877:SPRY_dom	6	2.608695652173913	0.0025771427621697506	BTN3A1, TRIM5, BTN3A3, TRIM26, TRIM21, TRIM22	230	42	9994	6.207453416149068	0.8744055641080317	0.13416530749747343	0.1316622234023713
UP_SEQ_FEATURE	DOMAIN:B30.2/SPRY	6	2.608695652173913	0.002859326079755001	BTN3A1, TRIM5, BTN3A3, TRIM26, TRIM21, TRIM22	226	43	9821	6.063593331961309	0.9886808020031331	0.6799728657259552	0.6799728657259552
